the_date,winner,loser,dma_name,day_of_week,total_wins,avg_wins,stddev_wins,n_periods,zscore
2025-06-01,Altice,Comcast,"New York, NY",0,3.0,21.5,4.949747468305833,2,-3.7375644148431797
2025-06-01,Cincinnati Bell,Comcast,"Cincinnati, OH",0,0.0,4.0,1.4142135623730951,2,-2.82842712474619
2025-06-01,Comcast,Verizon,"Philadelphia, PA",0,2.0,22.0,1.4142135623730951,2,-14.14213562373095
2025-06-01,Comcast,AT&T,"Philadelphia, PA",0,0.0,5.5,2.1213203435596424,2,-2.5927248643506746
2025-06-01,Comcast,Verizon FWA,"Philadelphia, PA",0,0.0,2.5,0.7071067811865476,2,-3.5355339059327373
2025-06-01,Comcast,Spectrum,"New York, NY",0,12.0,0.5,0.7071067811865476,2,16.263455967290593
2025-06-01,Comcast,T-Mobile FWA,"Philadelphia, PA",0,10.0,4.5,2.1213203435596424,2,2.5927248643506746
2025-06-01,Comcast,T-Mobile FWA,"Washington, DC",0,9.0,1.6666666666666667,0.5773502691896257,3,12.701705922171767
2025-06-01,Frontier,Comcast,"New York, NY",0,5.0,0.5,0.7071067811865476,2,6.363961030678928
2025-06-01,T-Mobile FWA,Comcast,"New York, NY",0,0.0,14.0,4.242640687119285,2,-3.299831645537222
2025-06-01,T-Mobile FWA,Comcast,"Washington, DC",0,1.0,7.333333333333333,0.5773502691896257,3,-10.96965511460289
2025-06-01,Verizon,Comcast,"Philadelphia, PA",0,24.0,7.5,4.949747468305833,2,3.3335033970222954
2025-06-01,Verizon,Spectrum,"Washington, DC",0,11.0,2.5,2.1213203435596424,2,4.00693842672377
2025-06-01,Verizon,Spectrum,"New York, NY",0,35.0,3.5,4.949747468305833,2,6.363961030678928
2025-06-01,Verizon FWA,Comcast,"Philadelphia, PA",0,6.0,3.5,0.7071067811865476,2,3.5355339059327373
2025-06-02,Altice,T-Mobile FWA,"New York, NY",1,12.0,2.0,1.4142135623730951,2,7.071067811865475
2025-06-02,Altice,Spectrum,"New York, NY",1,33.0,6.0,5.656854249492381,2,4.772970773009195
2025-06-02,Comcast,T-Mobile FWA,"Philadelphia, PA",1,0.0,3.5,0.7071067811865476,2,-4.949747468305833
2025-06-02,Comcast,Spectrum,"Philadelphia, PA",1,2.0,7.5,2.1213203435596424,2,-2.5927248643506746
2025-06-02,T-Mobile FWA,Comcast,"New York, NY",1,7.0,2.0,1.4142135623730951,2,3.5355339059327373
2025-06-02,T-Mobile FWA,Comcast,"Washington, DC",1,1.0,6.5,2.1213203435596424,2,-2.5927248643506746
2025-06-02,T-Mobile FWA,Spectrum,"New York, NY",1,2.0,5.5,0.7071067811865476,2,-4.949747468305833
2025-06-03,Comcast,AT&T,"Washington, DC",2,0.0,1.6666666666666667,0.5773502691896257,3,-2.886751345948129
2025-06-03,Comcast,Spectrum,"Philadelphia, PA",2,2.0,6.5,0.7071067811865476,2,-6.363961030678928
2025-06-03,Spectrum,Comcast,"New York, NY",2,18.0,1.0,1.4142135623730951,2,12.020815280171307
2025-06-03,T-Mobile FWA,Spectrum,"New York, NY",2,9.0,2.0,1.4142135623730951,2,4.949747468305833
2025-06-04,Altice,AT&T,"New York, NY",3,5.0,0.5,0.7071067811865476,2,6.363961030678928
2025-06-04,Altice,Comcast,"New York, NY",3,4.0,18.5,0.7071067811865476,2,-20.506096654409877
2025-06-04,Verizon,T-Mobile FWA,"Washington, DC",3,5.0,1.0,1.4142135623730951,2,2.82842712474619
2025-06-04,Verizon,Spectrum,"Philadelphia, PA",3,4.0,1.5,0.7071067811865476,2,3.5355339059327373
2025-06-05,Altice,Verizon,"New York, NY",4,39.0,6.5,7.7781745930520225,2,4.178358252465963
2025-06-05,Altice,AT&T,"New York, NY",4,4.0,6.5,0.7071067811865476,2,-3.5355339059327373
2025-06-05,Comcast,T-Mobile FWA,"Washington, DC",4,3.0,0.5,0.7071067811865476,2,3.5355339059327373
2025-06-05,Comcast,AT&T,"Washington, DC",4,5.0,0.5,0.7071067811865476,2,6.363961030678928
2025-06-05,T-Mobile FWA,Altice,"New York, NY",4,0.0,9.5,0.7071067811865476,2,-13.435028842544401
2025-06-05,T-Mobile FWA,Comcast,"Memphis, TN",4,5.0,1.5,0.7071067811865476,2,4.949747468305833
2025-06-05,Verizon,Comcast,"Washington, DC",4,1.0,15.5,2.1213203435596424,2,-6.83536555146996
2025-06-05,Verizon,Spectrum,"Washington, DC",4,7.0,1.5,2.1213203435596424,2,2.5927248643506746
2025-06-06,Altice,Verizon,"New York, NY",5,1.0,19.0,2.8284271247461903,2,-6.363961030678928
2025-06-06,Altice,T-Mobile FWA,"New York, NY",5,1.0,3.5,0.7071067811865476,2,-3.5355339059327373
2025-06-06,Altice,Spectrum,"New York, NY",5,25.0,6.5,4.949747468305833,2,3.7375644148431797
2025-06-06,Altice,Hotwire Fision,"New York, NY",5,0.0,2.5,0.7071067811865476,2,-3.5355339059327373
2025-06-06,Comcast,Verizon,"Washington, DC",5,7.0,3.5,0.7071067811865476,2,4.949747468305833
2025-06-06,Comcast,Verizon,"Washington, DC",5,12.0,4.666666666666667,2.0816659994661326,3,3.522819383711917
2025-06-06,Comcast,Spectrum,"Washington, DC",5,3.0,7.0,1.4142135623730951,2,-2.82842712474619
2025-06-06,Comcast,Verizon,"Philadelphia, PA",5,4.0,14.0,1.4142135623730951,2,-7.071067811865475
2025-06-06,T-Mobile FWA,Verizon,"Philadelphia, PA",5,5.0,2.5,0.7071067811865476,2,3.5355339059327373
2025-06-06,T-Mobile FWA,Comcast,"Washington, DC",5,11.0,2.6666666666666665,1.5275252316519468,3,5.455447255899809
2025-06-06,Verizon,Comcast,"Philadelphia, PA",5,17.0,7.0,2.8284271247461903,2,3.5355339059327373
2025-06-07,Altice,T-Mobile FWA,"New York, NY",6,13.0,2.0,1.4142135623730951,2,7.7781745930520225
