the_date,winner,loser,h2h_wins,h2h_share
2025-02-19,T-Mobile FWA,Comcast,17.0,100.0
2025-02-19,T-Mobile FWA,Spectrum,15.0,100.0
2025-02-19,AT&T,Comcast,15.0,100.0
2025-02-19,Spectrum,Comcast,15.0,100.0
2025-02-19,Spectrum,AT&T,14.0,100.0
2025-02-19,Comcast,AT&T,11.0,100.0
2025-02-19,AT&T,Spectrum,11.0,100.0
2025-02-19,Comcast,Spectrum,11.0,100.0
2025-02-19,Frontier,Spectrum,10.0,100.0
2025-02-20,AT&T,Spectrum,46.0,100.0
2025-02-20,AT&T,Comcast,44.0,100.0
2025-02-20,Spectrum,Comcast,40.0,100.0
2025-02-20,T-Mobile FWA,Comcast,35.0,100.0
2025-02-20,Frontier,Spectrum,33.0,100.0
2025-02-20,Comcast,AT&T,32.0,100.0
2025-02-20,Comcast,Spectrum,32.0,100.0
2025-02-20,Spectrum,AT&T,31.0,100.0
2025-02-20,T-Mobile FWA,Spectrum,26.0,100.0
2025-02-20,Verizon,Comcast,24.0,100.0
2025-02-20,Verizon FWA,Spectrum,22.0,100.0
2025-02-20,Spectrum,T-Mobile FWA,19.0,100.0
2025-02-20,Verizon FWA,Comcast,19.0,100.0
2025-02-20,CenturyLink,Comcast,18.0,100.0
2025-02-20,Spectrum,Cox Communications,15.0,100.0
2025-02-20,Spectrum,Frontier,14.0,100.0
2025-02-20,Frontier,Comcast,12.0,100.0
2025-02-20,Comcast,Verizon,12.0,100.0
2025-02-20,T-Mobile FWA,AT&T,12.0,100.0
2025-02-20,Comcast,CenturyLink,11.0,100.0
2025-02-20,Comcast,Cox Communications,11.0,100.0
2025-02-21,AT&T,Comcast,71.0,100.0
2025-02-21,Comcast,Spectrum,54.0,100.0
2025-02-21,Spectrum,AT&T,46.0,100.0
2025-02-21,T-Mobile FWA,Comcast,45.0,100.0
2025-02-21,Spectrum,Comcast,45.0,100.0
2025-02-21,Comcast,AT&T,45.0,100.0
2025-02-21,AT&T,Spectrum,44.0,100.0
2025-02-21,T-Mobile FWA,Spectrum,40.0,100.0
2025-02-21,Verizon FWA,Comcast,33.0,100.0
2025-02-21,Verizon FWA,Spectrum,29.0,100.0
2025-02-21,Frontier,Spectrum,27.0,100.0
2025-02-21,Verizon,Comcast,27.0,100.0
2025-02-21,Spectrum,T-Mobile FWA,26.0,100.0
2025-02-21,Comcast,CenturyLink,20.0,100.0
2025-02-21,Comcast,T-Mobile FWA,20.0,100.0
2025-02-21,T-Mobile FWA,AT&T,18.0,100.0
2025-02-21,Spectrum,Frontier,17.0,100.0
2025-02-21,Cox Communications,Spectrum,17.0,100.0
2025-02-21,CenturyLink,Comcast,17.0,100.0
2025-02-21,Comcast,Verizon,16.0,100.0
2025-02-21,Spectrum,Cox Communications,15.0,100.0
2025-02-21,Frontier,Comcast,13.0,100.0
2025-02-21,AT&T,T-Mobile FWA,12.0,100.0
2025-02-21,Verizon FWA,Cox Communications,12.0,100.0
2025-02-21,Comcast,Cox Communications,11.0,100.0
2025-02-21,CenturyLink,Spectrum,11.0,100.0
2025-02-21,Verizon FWA,AT&T,11.0,100.0
2025-02-21,AT&T,Cox Communications,11.0,100.0
2025-02-21,Cox Communications,Comcast,11.0,100.0
2025-02-21,Comcast,Frontier,10.0,100.0
2025-02-21,Comcast,Altice,10.0,100.0
2025-02-22,Spectrum,Comcast,116.0,100.0
2025-02-22,T-Mobile FWA,Comcast,116.0,100.0
2025-02-22,AT&T,Spectrum,115.0,100.0
2025-02-22,Comcast,Spectrum,112.0,100.0
2025-02-22,AT&T,Comcast,104.0,100.0
2025-02-22,Comcast,AT&T,104.0,100.0
2025-02-22,T-Mobile FWA,Spectrum,94.0,100.0
2025-02-22,Spectrum,AT&T,93.0,100.0
2025-02-22,Verizon FWA,Spectrum,65.0,100.0
2025-02-22,Frontier,Spectrum,62.0,100.0
2025-02-22,Spectrum,T-Mobile FWA,59.0,100.0
2025-02-22,Verizon FWA,Comcast,57.0,100.0
2025-02-22,Spectrum,Frontier,57.0,100.0
2025-02-22,Verizon,Comcast,51.0,100.0
2025-02-22,Comcast,T-Mobile FWA,50.0,100.0
2025-02-22,CenturyLink,Comcast,46.0,100.0
2025-02-22,Comcast,Verizon,35.0,100.0
2025-02-22,T-Mobile FWA,AT&T,33.0,100.0
2025-02-22,Frontier,Comcast,32.0,100.0
2025-02-22,Comcast,CenturyLink,30.0,100.0
2025-02-22,Comcast,Frontier,27.0,100.0
2025-02-22,Verizon,Spectrum,27.0,100.0
2025-02-22,Spectrum,Cox Communications,26.0,100.0
2025-02-22,Comcast,Verizon FWA,25.0,100.0
2025-02-22,Verizon FWA,AT&T,24.0,100.0
2025-02-22,Cox Communications,Comcast,24.0,100.0
2025-02-22,AT&T,Cox Communications,23.0,100.0
2025-02-22,Altice,Comcast,23.0,100.0
2025-02-22,Cox Communications,Spectrum,22.0,100.0
2025-02-22,AT&T,T-Mobile FWA,21.0,100.0
2025-02-22,Spectrum,Verizon,21.0,100.0
2025-02-22,Brightspeed,Spectrum,20.0,100.0
2025-02-22,Comcast,Altice,20.0,100.0
2025-02-22,Comcast,Cox Communications,20.0,100.0
2025-02-22,T-Mobile FWA,Cox Communications,19.0,100.0
2025-02-22,Cox Communications,AT&T,19.0,100.0
2025-02-22,CenturyLink,Spectrum,18.0,100.0
2025-02-22,Spectrum,Windstream,17.0,100.0
2025-02-22,Verizon,Altice,16.0,100.0
2025-02-22,Windstream,Spectrum,15.0,100.0
2025-02-22,Spectrum,Brightspeed,15.0,100.0
2025-02-22,Spectrum,Altice,14.0,100.0
2025-02-22,T-Mobile FWA,CenturyLink,14.0,100.0
2025-02-22,Spectrum,Verizon FWA,14.0,100.0
2025-02-22,Altice,Spectrum,14.0,100.0
2025-02-22,Altice,Verizon,14.0,100.0
2025-02-22,Hotwire Fision,Comcast,14.0,100.0
2025-02-22,Cox Communications,CenturyLink,13.0,100.0
2025-02-22,Spectrum,CenturyLink,13.0,100.0
2025-02-22,T-Mobile FWA,Verizon,12.0,100.0
2025-02-22,Google Fiber,Spectrum,11.0,100.0
2025-02-22,Consolidated,Spectrum,11.0,100.0
2025-02-22,Altice,AT&T,11.0,100.0
2025-02-22,Comcast,TDS Telecom,10.0,100.0
2025-02-22,T-Mobile FWA,Frontier,10.0,100.0
2025-02-22,TDS Telecom,Spectrum,10.0,100.0
2025-02-22,T-Mobile FWA,Altice,10.0,100.0
2025-02-22,Windstream,Comcast,10.0,100.0
2025-02-22,Verizon FWA,CenturyLink,10.0,100.0
2025-02-23,Comcast,Spectrum,150.0,100.0
2025-02-23,Spectrum,Comcast,131.0,100.0
2025-02-23,T-Mobile FWA,Comcast,124.0,100.0
2025-02-23,Comcast,AT&T,120.0,100.0
2025-02-23,AT&T,Comcast,119.0,100.0
2025-02-23,AT&T,Spectrum,112.0,100.0
2025-02-23,Spectrum,AT&T,109.0,100.0
2025-02-23,T-Mobile FWA,Spectrum,97.0,100.0
2025-02-23,Comcast,T-Mobile FWA,68.0,100.0
2025-02-23,Verizon FWA,Comcast,68.0,100.0
2025-02-23,Spectrum,T-Mobile FWA,63.0,100.0
2025-02-23,Verizon FWA,Spectrum,60.0,100.0
2025-02-23,Frontier,Spectrum,59.0,100.0
2025-02-23,Comcast,Verizon,46.0,100.0
2025-02-23,Verizon,Comcast,46.0,100.0
2025-02-23,Spectrum,Frontier,43.0,100.0
2025-02-23,Comcast,CenturyLink,43.0,100.0
2025-02-23,CenturyLink,Comcast,41.0,100.0
2025-02-23,Comcast,Cox Communications,33.0,100.0
