the_date,state,dma_name,winner,loser,current_wins,rolling_avg,rolling_stddev,z_score,pct_increase,is_first_appearance,is_outlier,outlier_reason
2025-02-26,New York,"New York, NY",Altice,Verizon,13.0,1.0,1.0,12.0,1200.0,False,True,Z-Score > 1.5
2025-02-26,New York,"New York, NY",Verizon,Altice,13.0,1.6666666666666667,1.1547005383792517,9.814954576223638,680.0,False,True,Z-Score > 1.5
2025-02-26,New York,"New York, NY",Verizon,Spectrum,10.0,1.6666666666666667,2.0816659994661326,4.003203845127179,500.0,False,True,Z-Score > 1.5
2025-02-27,Illinois,"Chicago, IL",Comcast,AT&T,12.0,0.6666666666666666,0.5773502691896258,19.629909152447276,1700.0000000000005,False,True,Z-Score > 1.5
2025-02-27,Illinois,"Chicago, IL",T-Mobile FWA,Comcast,10.0,1.6666666666666667,1.1547005383792517,7.216878364870322,500.0,False,True,Z-Score > 1.5
2025-02-27,New York,"New York, NY",Verizon,Altice,14.0,3.0,1.7320508075688772,6.3508529610858835,366.66666666666663,False,True,Z-Score > 1.5
2025-02-27,New York,"New York, NY",Altice,Verizon,10.0,2.0,2.0,4.0,400.0,False,True,Z-Score > 1.5
2025-02-28,New York,"New York, NY",Altice,Spectrum,13.0,0.6666666666666666,0.5773502691896258,21.36195996001615,1850.0000000000005,False,True,Z-Score > 1.5
2025-02-28,New York,"New York, NY",Altice,T-Mobile FWA,10.0,0.3333333333333333,0.5773502691896258,16.743157806499145,2900.0,False,True,Z-Score > 1.5
2025-02-28,New York,"New York, NY",Altice,Comcast,13.0,1.0,1.0,12.0,1200.0,False,True,Z-Score > 1.5
2025-02-28,New York,"New York, NY",Altice,Verizon,12.0,2.0,1.0,10.0,500.0,False,True,Z-Score > 1.5
2025-02-28,Illinois,"Chicago, IL",AT&T,Comcast,11.0,2.6666666666666665,2.0816659994661326,4.003203845127179,312.50000000000006,False,True,Z-Score > 1.5
2025-02-28,New Jersey,"New York, NY",Verizon,Comcast,12.0,5.0,2.0,3.5,140.0,False,True,Z-Score > 1.5
2025-02-28,New York,"New York, NY",Verizon,Altice,13.0,3.6666666666666665,3.0550504633038935,3.0550504633038935,254.5454545454546,False,True,Z-Score > 1.5
2025-02-28,Pennsylvania,"Philadelphia, PA",Verizon,Comcast,14.0,5.666666666666667,3.214550253664318,2.592379236826063,147.05882352941174,False,True,Z-Score > 1.5
2025-02-28,Maryland,"Washington, DC",Verizon,Comcast,13.0,6.0,5.291502622129181,1.3228756555322951,116.66666666666667,False,True,Pct Increase > 30%
2025-03-01,Pennsylvania,"Philadelphia, PA",Verizon,Comcast,31.0,4.666666666666667,2.0816659994661326,12.650124150601883,564.2857142857142,False,True,Z-Score > 1.5
2025-03-01,New York,"New York, NY",Altice,Spectrum,23.0,2.0,2.0,10.5,1050.0,False,True,Z-Score > 1.5
2025-03-01,New York,"New York, NY",Verizon FWA,Spectrum,10.0,1.6666666666666667,1.5275252316519468,5.455447255899809,500.0,False,True,Z-Score > 1.5
2025-03-01,New York,"New York, NY",Verizon,Comcast,28.0,9.0,3.605551275463989,5.269651864139677,211.11111111111111,False,True,Z-Score > 1.5
2025-03-01,New York,"Albany-Schenectady-Troy, NY",Spectrum,Comcast,10.0,1.0,1.7320508075688772,5.196152422706632,900.0,False,True,Z-Score > 1.5
2025-03-01,New Jersey,"Philadelphia, PA",Comcast,Verizon,13.0,2.6666666666666665,2.0816659994661326,4.963972767957702,387.50000000000006,False,True,Z-Score > 1.5
2025-03-01,New York,"New York, NY",Altice,Comcast,19.0,6.0,2.6457513110645907,4.913538149119954,216.66666666666666,False,True,Z-Score > 1.5
2025-03-01,Illinois,"Chicago, IL",T-Mobile FWA,Comcast,24.0,3.0,4.358898943540674,4.817730411281796,700.0,False,True,Z-Score > 1.5
2025-03-01,Illinois,"Chicago, IL",Comcast,Spectrum,13.0,2.6666666666666665,3.0550504633038935,3.382377298657882,387.50000000000006,False,True,Z-Score > 1.5
2025-03-01,Massachusetts,"Boston, MA",Comcast,Spectrum,10.0,2.6666666666666665,2.516611478423583,2.9139711855430965,275.00000000000006,False,True,Z-Score > 1.5
2025-03-01,Illinois,"Chicago, IL",Comcast,AT&T,16.0,3.3333333333333335,4.932882862316247,2.5678020379180464,380.0,False,True,Z-Score > 1.5
2025-03-01,New Jersey,"New York, NY",Verizon,Comcast,13.0,5.0,3.605551275463989,2.2188007849009166,160.0,False,True,Z-Score > 1.5
2025-03-01,Virginia,"Washington, DC",Verizon,Comcast,15.0,4.0,5.196152422706632,2.116950987028628,275.0,False,True,Z-Score > 1.5
2025-03-01,Ohio,"Cincinnati, OH",Cincinnati Bell,Spectrum,13.0,5.333333333333333,4.509249752822894,1.7002089231955175,143.75000000000003,False,True,Z-Score > 1.5
2025-03-01,New York,"New York, NY",Verizon,Altice,22.0,10.333333333333334,7.023769168568492,1.6610264925668732,112.9032258064516,False,True,Z-Score > 1.5
