the_date,state,dma_name,winner,loser,suppress_amount,reason
2025-02-26,New York,"New York, NY",Altice,Verizon,12.0,Z-Score > 1.5
2025-02-26,New York,"New York, NY",Verizon,Spectrum,8.333333333333334,Z-Score > 1.5
2025-02-27,Illinois,"Chicago, IL",Comcast,AT&T,11.333333333333334,Z-Score > 1.5
2025-02-27,New York,"New York, NY",Verizon,Spectrum,8.333333333333334,Z-Score > 1.5
2025-02-27,New York,"New York, NY",Verizon,Altice,11.0,Z-Score > 1.5
2025-02-27,New York,"New York, NY",Altice,Verizon,8.0,Z-Score > 1.5
2025-02-28,New York,"New York, NY",Altice,Comcast,11.666666666666666,Z-Score > 1.5
2025-02-28,Maine,"Portland-Auburn, ME",Consolidated,Spectrum,10.666666666666666,Z-Score > 1.5
2025-02-28,New York,"New York, NY",Altice,T-Mobile FWA,9.666666666666666,Z-Score > 1.5
2025-02-28,New York,"New York, NY",Spectrum,Comcast,10.666666666666666,Z-Score > 1.5
2025-02-28,Pennsylvania,"Philadelphia, PA",Verizon,Comcast,7.333333333333333,Z-Score > 1.5
2025-02-28,Illinois,"Chicago, IL",AT&T,Comcast,8.333333333333334,Z-Score > 1.5
2025-02-28,New York,"New York, NY",Altice,Spectrum,10.666666666666666,Z-Score > 1.5
2025-02-28,New York,"New York, NY",Altice,Verizon,9.333333333333334,Z-Score > 1.5
2025-02-28,New York,"New York, NY",Verizon,Altice,9.333333333333334,Z-Score > 1.5
2025-02-28,Maryland,"Washington, DC",Verizon,Comcast,7.0,Pct Increase > 30%
2025-03-01,North Carolina,"Charlotte, NC",Verizon FWA,Spectrum,8.666666666666666,Z-Score > 1.5
2025-03-01,Pennsylvania,"Philadelphia, PA",Verizon,Comcast,24.666666666666668,Z-Score > 1.5
2025-03-01,New York,"New York, NY",Altice,Spectrum,21.333333333333332,Z-Score > 1.5
2025-03-01,New York,"New York, NY",Verizon FWA,Spectrum,8.333333333333334,Z-Score > 1.5
2025-03-01,Pennsylvania,"Philadelphia, PA",T-Mobile FWA,Comcast,11.333333333333334,Z-Score > 1.5
2025-03-01,Pennsylvania,"Philadelphia, PA",Comcast,Verizon,13.666666666666666,Z-Score > 1.5
2025-03-01,New Jersey,"New York, NY",Altice,Comcast,14.0,Z-Score > 1.5
2025-03-01,Illinois,"Chicago, IL",AT&T,Comcast,16.666666666666668,Z-Score > 1.5
2025-03-01,New York,"New York, NY",Verizon,Comcast,20.666666666666668,Z-Score > 1.5
2025-03-01,Maryland,"Washington, DC",Comcast,Verizon,9.0,Z-Score > 1.5
2025-03-01,New York,"New York, NY",Altice,Verizon,14.0,Z-Score > 1.5
2025-03-01,Massachusetts,"Boston, MA",Comcast,Spectrum,7.333333333333334,Z-Score > 1.5
2025-03-01,New Jersey,"New York, NY",Verizon,Comcast,8.0,Z-Score > 1.5
2025-03-01,Virginia,"Washington, DC",Verizon,Comcast,11.0,Z-Score > 1.5
2025-03-01,New York,"New York, NY",Verizon,Altice,11.666666666666666,Z-Score > 1.5
