the_date,state,dma_name,winner,loser,unique_blocks,total_metric,avg_metric,max_metric,z_score
2025-08-16,,,Comcast,AT&T,409,283.0,0.6919315403422983,3.0,44.935690369531265
2025-08-16,,,Spectrum,Comcast,464,274.0,0.5905172413793104,3.0,43.49930229058453
2025-08-16,,,Spectrum,AT&T,406,259.0,0.6379310344827587,3.0,41.10532215900665
2025-06-19,,,Spectrum,Comcast,399,239.0,0.5989974937343359,2.0,37.91334865023613
2025-08-16,,,Comcast,Spectrum,438,232.0,0.5296803652968036,2.0,36.79615792216645
2025-08-16,,,AT&T,Comcast,412,226.0,0.5485436893203883,3.0,35.838565869535294
2025-08-17,,,Spectrum,AT&T,348,226.0,0.6494252873563219,3.0,35.838565869535294
2025-06-19,,,Comcast,Spectrum,384,221.0,0.5755208333333334,3.0,35.04057249234266
2025-08-16,,,Spectrum,T-Mobile FWA,260,217.0,0.8346153846153846,4.0,34.40217779058856
2025-08-17,,,Comcast,AT&T,338,216.0,0.6390532544378699,5.0,34.242579115150036
2025-06-19,,,AT&T,Comcast,345,215.0,0.6231884057971014,4.0,34.08298043971151
2025-08-16,,,AT&T,Spectrum,391,208.0,0.5319693094629157,3.0,32.96578971164183
2025-08-17,,,AT&T,Comcast,356,201.0,0.5646067415730337,4.0,31.84859898357215
2025-08-17,,,Spectrum,Comcast,357,197.0,0.5518207282913166,2.0,31.210204281818047
2025-08-17,,,AT&T,Spectrum,391,194.0,0.4961636828644501,2.0,30.73140825550247
2025-06-19,,,AT&T,Spectrum,312,189.0,0.6057692307692307,3.0,29.93341487830984
2025-08-17,,,Comcast,Spectrum,360,184.0,0.5111111111111111,2.0,29.13542150111721
2025-08-15,,,Comcast,AT&T,260,174.0,0.6692307692307692,3.0,27.539434746731953
2025-08-16,,,Comcast,T-Mobile FWA,229,167.0,0.7292576419213974,2.0,26.422244018662273
2025-08-15,,,Spectrum,Comcast,304,165.0,0.5427631578947368,4.0,26.10304666778522
2025-08-15,,,Spectrum,AT&T,255,161.0,0.6313725490196078,3.0,25.464651966031116
2025-08-15,,,AT&T,Comcast,292,156.0,0.5342465753424658,3.0,24.666658588838487
2025-08-17,,,Spectrum,T-Mobile FWA,187,154.0,0.8235294117647058,4.0,24.347461237961436
2025-06-19,,,Comcast,AT&T,296,151.0,0.5101351351351351,2.0,23.868665211645858
2025-06-19,,,Comcast,T-Mobile FWA,183,145.0,0.7923497267759563,2.0,22.911073159014705
2025-08-15,,,Comcast,Spectrum,286,142.0,0.4965034965034965,2.0,22.432277132699127
2025-08-18,,,Spectrum,Comcast,262,142.0,0.5419847328244275,3.0,22.432277132699127
2025-08-17,,,Comcast,T-Mobile FWA,181,142.0,0.7845303867403315,3.0,22.432277132699127
2025-06-19,,,Spectrum,T-Mobile FWA,172,135.0,0.7848837209302325,3.0,21.315086404629447
2025-06-19,,,Spectrum,AT&T,283,131.0,0.4628975265017668,2.0,20.676691702875342
2025-08-15,,,AT&T,Spectrum,256,130.0,0.5078125,2.0,20.517093027436818
2025-08-18,,,Comcast,Spectrum,264,130.0,0.49242424242424243,2.0,20.517093027436818
2025-08-16,,,Spectrum,Verizon FWA,130,119.0,0.9153846153846154,3.0,18.76150759761303
2025-08-15,,,Spectrum,T-Mobile FWA,153,115.0,0.7516339869281046,3.0,18.123112895858927
2025-08-18,,,Comcast,AT&T,203,115.0,0.5665024630541872,2.0,18.123112895858927
2025-08-18,,,AT&T,Spectrum,201,112.0,0.5572139303482587,2.0,17.64431686954335
2025-08-17,,,Spectrum,Verizon FWA,125,106.0,0.848,3.0,16.686724816912196
2025-08-16,,,Spectrum,Frontier,152,103.0,0.6776315789473685,3.0,16.20792879059662
2025-08-18,,,AT&T,Comcast,214,102.0,0.4766355140186916,2.0,16.04833011515809
2025-08-15,,,Comcast,T-Mobile FWA,144,99.0,0.6875,3.0,15.569534088842515
2025-08-18,,,Spectrum,AT&T,201,99.0,0.4925373134328358,2.0,15.569534088842515
2025-08-17,,,Spectrum,Frontier,120,87.0,0.725,3.0,13.654349983580206
2025-08-17,,,Comcast,Verizon FWA,93,87.0,0.9354838709677419,2.0,13.654349983580206
2025-08-16,,,Comcast,Verizon FWA,85,83.0,0.9764705882352941,2.0,13.015955281826102
2025-08-16,,,T-Mobile FWA,Spectrum,218,80.0,0.3669724770642202,2.0,12.537159255510524
2025-08-17,,,AT&T,T-Mobile FWA,91,79.0,0.8681318681318682,3.0,12.377560580071998
2025-08-17,,,T-Mobile FWA,Comcast,185,77.0,0.41621621621621624,1.0,12.058363229194947
2025-08-16,,,AT&T,T-Mobile FWA,96,75.0,0.78125,2.0,11.739165878317895
2025-08-17,,,T-Mobile FWA,Spectrum,174,72.0,0.41379310344827586,2.0,11.260369852002318
2025-08-16,,,T-Mobile FWA,Comcast,229,71.0,0.31004366812227074,1.0,11.100771176563791
