the_date,census_blockid,winner,loser,state,dma_name,block_metric,total_daily,contribution_pct,outlier_type,mover_ind,metric_type
2025-06-19,010210601014003,Central Access,AT&T,Alabama,"Birmingham, AL",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,201390104002073,KwiKom Communications,Mediacom,Kansas,"Topeka, KS",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,011339655031035,Point Broadband,Spectrum,Alabama,"Birmingham, AL",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,010139531002011,Hayneville Telephone Company,Spectrum,Alabama,"Montgomery-Selma, AL",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,021300002002009,KPU Telecommunications,General Communications,Alaska,"Juneau, AK",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,021950002003003,Alaska Power & Telephone Company,Frontier,Alaska,"Juneau, AK",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,040099617001037,Valley Telecom,CenturyLink,Arizona,"Phoenix, AZ",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,040134223011009,Millennium Telcom,Cox Communications,Arizona,"Phoenix, AZ",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,040134226342001,Google Fiber,Cox Communications,Arizona,"Phoenix, AZ",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,040210017061018,Orbitel Communications,Frontier,Arizona,"Phoenix, AZ",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,040190044231038,Resound Networks,T-Mobile FWA,Arizona,"Tucson, AZ",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,051430105082005,Ozarks Electric Cooperative,Cox Communications,Arkansas,"Ft. Smith-Fayetteville-Springdale-Rogers, AR-OK",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,050199537002035,South Central Connect,AT&T,Arkansas,"Little Rock-Pine Bluff, AR",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,050450307021025,Conway Corporation,AT&T,Arkansas,"Little Rock-Pine Bluff, AR",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,051039505003000,South Arkansas Telephone Company,Spectrum,Arkansas,"Little Rock-Pine Bluff, AR",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,051379501002027,Yelcot Telephone Company,Connect2First,Arkansas,"Little Rock-Pine Bluff, AR",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,051414602002059,Hughes,Comcast,Arkansas,"Little Rock-Pine Bluff, AR",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,050930110004061,T-Mobile FWA,Ritter Communications,Arkansas,"Memphis, TN-MS-AR",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,050279505002029,Southwest Arkansas Telephone Cooperative,Comcast,Arkansas,"Shreveport, LA-TX-AR-OK",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,050097902001069,Northern Arkansas Telephone Company,Tombigbee Fiber,Arkansas,"Springfield, MO-AR",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,060290033052024,Zito Media,AT&T,California,"Bakersfield, CA",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,060070033001000,Digital Path,AT&T,California,"Chico-Redding, CA",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,060590525134004,Google Fiber,AT&T,California,"Los Angeles, CA-NV",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,060650424062009,Connect2First,Windstream,California,"Los Angeles, CA-NV",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,060570012053022,Altice,Comcast,California,"Sacramento-Stockton-Modesto, CA",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,060610202002000,Sebastian,Spectrum,California,"Sacramento-Stockton-Modesto, CA",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,060910100002010,Plumas Sierra Telecommunications,Spectrum,California,"Sacramento-Stockton-Modesto, CA",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,060750213002001,MonkeyBrains,Spectrum,California,"San Francisco-Oakland-San Jose, CA",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,060250124001082,CenturyLink,Cox Communications,California,"Yuma-El Centro, AZ-CA",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,080410047021000,Metronet,AT&T,Colorado,"Colorado Springs-Pueblo, CO",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,081010031041010,Secom,Hughes,Colorado,"Colorado Springs-Pueblo, CO",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,080010079001014,Gigstreem,AT&T,Colorado,"Denver, CO-WY-NE",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,011339655022013,Sprout Fiber Internet,Spectrum,Alabama,"Birmingham, AL",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,080310019011006,Starry,Comcast,Colorado,"Denver, CO-WY-NE",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,080399612091015,Rise Broadband,T-Mobile FWA,Colorado,"Denver, CO-WY-NE",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,080590119511007,Google Fiber,Comcast,Colorado,"Denver, CO-WY-NE",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,080690010044003,WhiteSky Communications,Comcast,Colorado,"Denver, CO-WY-NE",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,080690020052027,Loveland Pulse,Ziply Fiber,Colorado,"Denver, CO-WY-NE",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,080799736001110,Ciello,Comcast,Colorado,"Denver, CO-WY-NE",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,081230021013005,TDS Telecom,Comcast,Colorado,"Denver, CO-WY-NE",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,100010418022029,Hughes,T-Mobile FWA,Delaware,"Philadelphia, PA-NJ-DE",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,100030166081040,Verizon FWA,Verizon,Delaware,"Philadelphia, PA-NJ-DE",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,100050512011035,Mediacom,Comcast,Delaware,"Salisbury, MD-DE",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,110010041003008,Astound Broadband,Verizon,District of Columbia,"Washington, DC-VA-MD-WV-PA",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,120710503121012,Telstar Cablevision,Comcast,Florida,"Ft. Myers-Naples, FL",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,120860027022033,Webpass,Spectrum,Florida,"Miami-Ft. Lauderdale, FL",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,121130108021312,Mediacom,Comcast,Florida,"Mobile-Pensacola, AL-FL-MS",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,120690308061021,Opticaltel,Spectrum,Florida,"Orlando-Daytona Beach-Melbourne, FL",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,121270925003002,Cable One,Comcast,Florida,"Orlando-Daytona Beach-Melbourne, FL",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,121050103001021,T-Mobile Fiber,Comcast,Florida,"Tampa-St. Petersburg, FL",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,131210037001002,Zentro,Comcast,Georgia,"Atlanta, GA-AL-NC",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,131230805001010,Ellijay Telephone,Comcast,Georgia,"Atlanta, GA-AL-NC",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,132950203023006,EPB Fiber,Comcast,Georgia,"Chattanooga, TN-GA-NC",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,133130010001003,Dalton OptiLink,Spectrum,Georgia,"Chattanooga, TN-GA-NC",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,132999509004003,Vyve Broadband,Comcast,Georgia,"Jacksonville, FL-GA",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,130510110051007,LiveOak Fiber,Mediacom,Georgia,"Savannah, GA-SC",2.0,2.0,1.0,geographic_concentration,True,win
2025-06-19,130879706003021,Conexon Connect,Comcast,Georgia,"Tallahassee-Thomasville, FL-GA",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,160050004001017,Google Fiber,Optix Media,Idaho,"Idaho Falls-Pocatello, ID-WY",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,160199709003041,Silver Star Communications,Cable One,Idaho,"Idaho Falls-Pocatello, ID-WY",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,160439702003078,Blackfoot Telephone Cooperative,Comcast,Idaho,"Idaho Falls-Pocatello, ID-WY",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,160550006023020,TDS Telecom,Spectrum,Idaho,"Spokane, WA-ID-MT-OR",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,160550014001027,Spectrum,T-Mobile FWA,Idaho,"Spokane, WA-ID-MT-OR",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,170179604002077,Cass Cable TV,Spectrum,Illinois,"Champaign & Springfield-Decatur, IL",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,170219586002079,Computer Techniques,Joink,Illinois,"Champaign & Springfield-Decatur, IL",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,170312819003004,Hughes,Comcast,Illinois,"Chicago, IL-IN",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,170318331002011,Webpass,Comcast,Illinois,"Chicago, IL-IN",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,170319900000002,Zentro,Google Fiber,Illinois,"Chicago, IL-IN",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,170910120002024,Pavlov Media,Comcast,Illinois,"Chicago, IL-IN",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,170950015005026,Mid Century Communications,Mediacom,Illinois,"Davenport-Rock Island-Moline, IA-IL",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,170659733002091,Hamilton County Communications,Mediacom,Illinois,"Paducah-Cape Girardeau-Harrisburg, KY-MO-IL-TN",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,170770111004004,Clearwave Communications,Comcast,Illinois,"Paducah-Cape Girardeau-Harrisburg, KY-MO-IL-TN",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,171499526005034,Illinois Rural Telecommunication Co.,Brightspeed,Illinois,"Quincy-Hannibal-Keokuk, IL-MO-IA",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,170070103002002,Rise Broadband,AW Broadband,Illinois,"Rockford, IL",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,170259721001079,Wabash Independent Networks,Spectrum,Illinois,"St. Louis, MO-IL",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,171194036031013,Highland Communication Services,Cable One,Illinois,"St. Louis, MO-IL",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,180890220001001,Astound Broadband,AT&T,Indiana,"Chicago, IL-IN",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,181379686004007,SEI Data,Comcast,Indiana,"Cincinnati, OH-KY-IN",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,180050109003016,Great Plains Communications,Cincinnati Bell,Indiana,"Indianapolis, IN",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,180118106013068,TDS Telecom,Comcast,Indiana,"Indianapolis, IN",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,180459578004032,Cable One,AT&T,Indiana,"Indianapolis, IN",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,180816108011003,NineStar Connect,Comcast,Indiana,"Indianapolis, IN",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,180719680001086,Jackson County REMC,Comcast,Indiana,"Louisville, KY-IN",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,181179513001039,Orange County REMC,Ellijay Telephone,Indiana,"Louisville, KY-IN",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,181439669001078,City of Scottsburg,Metalink Technologies,Indiana,"Louisville, KY-IN",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,180210405002038,Smithville Telephone Co.,Frontier,Indiana,"Terre Haute, IN-IL",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,181670011002010,Hughes,Frontier,Indiana,"Terre Haute, IN-IL",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,190199505004032,Independence Telecommunications Utility,Nextlink Broadband,Iowa,"Cedar Rapids-Waterloo-Iowa City & Dubuque, IA",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,191390508001009,Muscatine Power and Water,United Fiber,Iowa,"Davenport-Rock Island-Moline, IA-IL",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,190990403002006,Hughes,Comcast,Iowa,"Des Moines-Ames, IA",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,191099504003030,Algona Municipal Utilities,AT&T,Iowa,"Des Moines-Ames, IA",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,191279501002076,Norvado,Mediacom,Iowa,"Des Moines-Ames, IA",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,191550217021088,Frontier,AT&T,Iowa,"Omaha, NE-IA-MO",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,191010904002054,LISCO,Windstream,Iowa,"Ottumwa-Kirksville, IA-MO",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,191315603004002,Osage Municipal Communications Utility,T-Mobile FWA,Iowa,"Rochester-Mason City-Austin, MN-IA-IL",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,200910536011004,Comcast,KwiKom Communications,Kansas,"Kansas City, MO-KS",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,201211006013071,Altice,KwiKom Communications,Kansas,"Kansas City, MO-KS",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,250250005022000,Starry,Spectrum,Massachusetts,"Boston, MA-NH-VT",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,200959611002237,Nextlink Broadband,AT&T,Kansas,"Wichita-Hutchinson Plus, KS",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,201137887002072,Mutual Telephone Company,AT&T,Kansas,"Wichita-Hutchinson Plus, KS",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,201154896003030,Tri-County Telephone (KS),Consolidated Telephone Company (MN),Kansas,"Wichita-Hutchinson Plus, KS",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,201550018002021,Cincinnati Bell,Spectrum,Kansas,"Wichita-Hutchinson Plus, KS",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,201550018002021,ViaSat,Comcast,Kansas,"Wichita-Hutchinson Plus, KS",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,201550018002032,TruVista Communications,Vyve Broadband,Kansas,"Wichita-Hutchinson Plus, KS",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,201679738003039,Nextech,Cox Communications,Kansas,"Wichita-Hutchinson Plus, KS",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,201730096042006,Twin Valley Communications,Frontier,Kansas,"Wichita-Hutchinson Plus, KS",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,211959314003004,Altice,Hughes,Kentucky,"Charleston-Huntington, WV-KY-OH",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,210150705023017,SEI Data,Brightspeed,Kentucky,"Cincinnati, OH-KY-IN",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,211170647001003,Cincinnati Bell,Spectrum,Kentucky,"Cincinnati, OH-KY-IN",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,211499702002044,Conexon Connect,Starlink,Kentucky,"Evansville, IN-KY-IL",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,210670023022000,Starlink,Frontier,Kentucky,"Lexington, KY",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,211799303031004,"City of Bardstown, Kentucky",Spectrum,Kentucky,"Louisville, KY-IN",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,210472004002061,Hopkinsville Electric System,Google Fiber,Kentucky,"Nashville, TN-KY",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,211319202002002,TDS Telecom,Starlink,Kentucky,"Tri-Cities, TN-VA-KY",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,211339501002000,Gearheart Communications,Altice,Kentucky,"Tri-Cities, TN-VA-KY",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,220330004003009,Starlink,Frontier,Louisiana,"Baton Rouge, LA-MS",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,220379515024003,Consolidated,Mediacom,Louisiana,"Baton Rouge, LA-MS",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,220530003003037,Brightspeed,Cox Communications,Louisiana,"Lafayette, LA",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,220039504002012,Fastwyre Broadband,Altice,Louisiana,"Lake Charles, LA",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,220619608001001,Conexon Connect,Altice,Louisiana,"Monroe-El Dorado, LA-AR",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,230259669002021,Verizon FWA,TDS Telecom,Maine,"Bangor, ME",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,230270440004026,Lincolnville Telephone Company,Wintek Corporation,Maine,"Bangor, ME",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,230050045021010,T-Mobile FWA,Great Works Internet,Maine,"Portland-Auburn, ME-NH",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,240358102001007,Talkie Communications,Verizon FWA,Maryland,"Baltimore, MD",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,250092081012011,AT&T,Comcast,Massachusetts,"Boston, MA-NH-VT",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,250214131004005,Norwood Light Broadband,Verizon,Massachusetts,"Boston, MA-NH-VT",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,250235306003006,Starlink,Frontier,Massachusetts,"Boston, MA-NH-VT",1.0,1.0,1.0,geographic_concentration,True,win
2025-06-19,080050061001008,Ting Fiber,Comcast,Colorado,"Denver, CO-WY-NE",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,121270830071028,Wire 3,Comcast,Florida,"Orlando-Daytona Beach-Melbourne, FL",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,120050022003018,WOW!,Mediacom,Florida,"Panama City, FL",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,120810008041016,Windstream,Comcast,Florida,"Tampa-St. Petersburg, FL",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,121030202093007,T-Mobile Fiber,Comcast,Florida,"Tampa-St. Petersburg, FL",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,120990071001006,Single Digits,Spectrum,Florida,"West Palm Beach-Ft. Pierce, FL",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,132779607004000,Plant TiftNet,Windstream,Georgia,"Albany, GA",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,131110505003028,TDS Telecom,Frontier,Georgia,"Atlanta, GA-AL-NC",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,131210111002021,Starlink,Comcast,Georgia,"Atlanta, GA-AL-NC",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,132859610003000,Point Broadband,Verizon,Georgia,"Atlanta, GA-AL-NC",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,132910002041005,Blue Ridge Mountain EMC,Starlink,Georgia,"Atlanta, GA-AL-NC",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,133130009001011,Dalton OptiLink,TDS Telecom,Georgia,"Chattanooga, TN-GA-NC",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,132150105014006,Atlantic Broadband,Spectrum,Georgia,"Columbus, GA-AL",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,132999509004003,Vyve Broadband,Alma Telephone,Georgia,"Jacksonville, FL-GA",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,131530206001002,Cox Communications,Spectrum,Georgia,"Macon, GA-AL",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,130510101021006,Cable One,Comcast,Georgia,"Savannah, GA-SC",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,150070402041012,Verizon FWA,CenturyLink,Hawaii,"Honolulu, HI",2.0,2.0,1.0,geographic_concentration,True,win
2025-08-15,150090307051001,Starlink,Spectrum,Hawaii,"Honolulu, HI",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,160050011022024,Google Fiber,CenturyLink,Idaho,"Idaho Falls-Pocatello, ID-WY",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,160199701004022,Race Communications,Spectrum,Idaho,"Idaho Falls-Pocatello, ID-WY",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,160199705021009,Starlink,Anthem Broadband,Idaho,"Idaho Falls-Pocatello, ID-WY",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,160079502001157,Optix Media,Comcast,Idaho,"Salt Lake City, UT-WY-NV-ID",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,160539701001303,Anthem Broadband,ATC Communications,Idaho,"Twin Falls, ID",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,160639501004061,Spectrum,AT&T,Idaho,"Twin Falls, ID",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,170290009001029,Consolidated,Cable One,Illinois,"Champaign & Springfield-Decatur, IL",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,170910120002024,Pavlov Media,Verizon,Illinois,"Chicago, IL-IN",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,171610241031027,Muscatine Power and Water,Verizon FWA,Illinois,"Davenport-Rock Island-Moline, IA-IL",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,172030306011008,CIRBN,Cox Communications,Illinois,"Peoria-Bloomington, IL",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,170010001003001,Adams NetWorks,AT&T,Illinois,"Quincy-Hannibal-Keokuk, IL-MO-IA",1.0,1.0,1.0,geographic_concentration,True,win
2025-08-15,170059515003010,Wisper ISP,GigFire,Illinois,"St. Louis, MO-IL",1.0,1.0,1.0,geographic_concentration,True,win
