the_date,new_appearance_count,total_combinations,new_appearance_volume,total_volume,pct_new_combinations,pct_new_volume,segment,metric_type,table
2025-03-21,8344.0,15656,4385.0,8194.0,53.3,53.51,mover,win,gamoshi_win_mover_census_cube
2025-03-22,15279.0,27608,8089.0,14882.0,55.34,54.35,mover,win,gamoshi_win_mover_census_cube
2025-03-23,11901.0,22197,6318.0,11790.0,53.62,53.59,mover,win,gamoshi_win_mover_census_cube
2025-03-24,6223.0,12168,3356.0,6346.0,51.14,52.88,mover,win,gamoshi_win_mover_census_cube
2025-03-25,7441.0,14258,4019.0,7453.0,52.19,53.92,mover,win,gamoshi_win_mover_census_cube
2025-03-26,7425.0,14119,3991.0,7385.0,52.59,54.04,mover,win,gamoshi_win_mover_census_cube
2025-03-27,8349.0,15718,4556.0,8374.0,53.12,54.41,mover,win,gamoshi_win_mover_census_cube
2025-03-28,16008.0,29369,10047.0,18095.0,54.51,55.52,mover,win,gamoshi_win_mover_census_cube
2025-03-29,18484.0,32758,9894.0,17665.0,56.43,56.01,mover,win,gamoshi_win_mover_census_cube
2025-03-30,15012.0,27134,8018.0,14473.0,55.33,55.4,mover,win,gamoshi_win_mover_census_cube
2025-03-31,8333.0,15865,4421.0,8298.0,52.52,53.28,mover,win,gamoshi_win_mover_census_cube
2025-04-01,17220.0,31935,10840.0,19792.0,53.92,54.77,mover,win,gamoshi_win_mover_census_cube
2025-04-02,12459.0,22586,6695.0,11992.0,55.16,55.83,mover,win,gamoshi_win_mover_census_cube
2025-04-03,12953.0,23046,6984.0,12272.0,56.2,56.91,mover,win,gamoshi_win_mover_census_cube
2025-04-04,12210.0,21921,6554.0,11630.0,55.7,56.35,mover,win,gamoshi_win_mover_census_cube
2025-04-05,23015.0,39295,12384.0,21551.0,58.57,57.46,mover,win,gamoshi_win_mover_census_cube
2025-04-06,17466.0,30463,9356.0,16368.0,57.34,57.16,mover,win,gamoshi_win_mover_census_cube
2025-04-07,9208.0,16606,4870.0,8679.0,55.45,56.11,mover,win,gamoshi_win_mover_census_cube
2025-04-08,16850.0,30202,10403.0,18623.0,55.79,55.86,mover,win,gamoshi_win_mover_census_cube
2025-04-09,17462.0,31116,10911.0,19175.0,56.12,56.9,mover,win,gamoshi_win_mover_census_cube
2025-04-10,18609.0,32876,11500.0,20390.0,56.6,56.4,mover,win,gamoshi_win_mover_census_cube
2025-04-11,11929.0,20843,6293.0,11002.0,57.23,57.2,mover,win,gamoshi_win_mover_census_cube
2025-04-12,20173.0,34893,10706.0,18909.0,57.81,56.62,mover,win,gamoshi_win_mover_census_cube
2025-04-13,16040.0,27896,8496.0,15013.0,57.5,56.59,mover,win,gamoshi_win_mover_census_cube
2025-04-14,8473.0,15289,4427.0,7982.0,55.42,55.46,mover,win,gamoshi_win_mover_census_cube
2025-04-15,10394.0,18287,5453.0,9617.0,56.84,56.7,mover,win,gamoshi_win_mover_census_cube
2025-04-16,12212.0,21125,6701.0,11361.0,57.81,58.98,mover,win,gamoshi_win_mover_census_cube
2025-04-17,11786.0,20445,6383.0,10960.0,57.65,58.24,mover,win,gamoshi_win_mover_census_cube
2025-04-18,11824.0,20536,6300.0,10980.0,57.58,57.38,mover,win,gamoshi_win_mover_census_cube
2025-04-19,23242.0,38836,12446.0,21322.0,59.85,58.37,mover,win,gamoshi_win_mover_census_cube
2025-04-20,16801.0,28771,8921.0,15574.0,58.4,57.28,mover,win,gamoshi_win_mover_census_cube
2025-04-21,8738.0,15344,4591.0,8073.0,56.95,56.87,mover,win,gamoshi_win_mover_census_cube
2025-04-22,10403.0,18337,5483.0,9782.0,56.73,56.05,mover,win,gamoshi_win_mover_census_cube
2025-04-23,11402.0,19903,6003.0,10622.0,57.29,56.51,mover,win,gamoshi_win_mover_census_cube
2025-04-24,21655.0,33483,12069.0,18703.0,64.67,64.53,mover,win,gamoshi_win_mover_census_cube
2025-04-25,18871.0,30040,10340.0,16574.0,62.82,62.39,mover,win,gamoshi_win_mover_census_cube
2025-04-26,27796.0,44825,15161.0,25411.0,62.01,59.66,mover,win,gamoshi_win_mover_census_cube
2025-04-27,26045.0,42322,14917.0,24990.0,61.54,59.69,mover,win,gamoshi_win_mover_census_cube
2025-04-28,11917.0,20216,6437.0,11011.0,58.95,58.46,mover,win,gamoshi_win_mover_census_cube
2025-04-29,20846.0,35320,13067.0,22583.0,59.02,57.86,mover,win,gamoshi_win_mover_census_cube
2025-04-30,13270.0,22328,7112.0,12164.0,59.43,58.47,mover,win,gamoshi_win_mover_census_cube
2025-05-01,13641.0,23093,7274.0,12527.0,59.07,58.07,mover,win,gamoshi_win_mover_census_cube
2025-05-02,13666.0,23517,7307.0,12835.0,58.11,56.93,mover,win,gamoshi_win_mover_census_cube
2025-05-03,29305.0,47799,15875.0,27218.0,61.31,58.33,mover,win,gamoshi_win_mover_census_cube
