the_date,dow,dow_name_target,census_blockid,winner,loser,state,dma_name,metric_value,dow_name_baseline,mean_value,std_value,min_value,max_value,q1,q3,historical_count,z_score,iqr,iqr_lower,iqr_upper,is_z_outlier,is_iqr_outlier,is_outlier,outlier_type,mover_ind,metric_type
2025-06-19,4,Thursday,250056312001018,T-Mobile FWA,Comcast,Massachusetts,"Providence-New Bedford, RI-MA",0.0,Thursday,1.5,0.7071067811865476,1.0,2.0,1.25,1.75,2.0,-2.1213203432596424,0.5,0.5,2.5,False,True,True,statistical,True,win
2025-06-19,4,Thursday,250110414001009,Comcast,Spectrum,Massachusetts,"Springfield-Holyoke, MA",1.0,Thursday,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10000000000.0,0.0,0.0,0.0,True,True,True,statistical,True,win
2025-06-19,4,Thursday,250138129013001,Comcast,Spectrum,Massachusetts,"Springfield-Holyoke, MA",1.0,Thursday,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10000000000.0,0.0,0.0,0.0,True,True,True,statistical,True,win
2025-06-19,4,Thursday,250158224014011,Spectrum,Comcast,Massachusetts,"Springfield-Holyoke, MA",0.0,Thursday,1.3333333333333333,0.5773502691896257,1.0,2.0,1.0,1.5,3.0,-2.309401076358503,0.5,0.25,2.25,False,True,True,statistical,True,win
2025-06-19,4,Thursday,260873370004006,Spectrum,Comcast,Michigan,"Detroit, MI",1.0,Thursday,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10000000000.0,0.0,0.0,0.0,True,True,True,statistical,True,win
2025-06-19,4,Thursday,260937416012012,Comcast,Spectrum,Michigan,"Detroit, MI",2.0,Thursday,1.0,0.0,1.0,1.0,1.0,1.0,4.0,10000000000.0,0.0,1.0,1.0,True,True,True,statistical,True,win
2025-06-19,4,Thursday,260992225001003,Comcast,AT&T,Michigan,"Detroit, MI",0.0,Thursday,1.0,0.0,1.0,1.0,1.0,1.0,2.0,-10000000000.0,0.0,1.0,1.0,True,True,True,statistical,True,win
2025-06-19,4,Thursday,260992629001003,Comcast,Spectrum,Michigan,"Detroit, MI",0.0,Thursday,1.0,0.0,1.0,1.0,1.0,1.0,2.0,-10000000000.0,0.0,1.0,1.0,True,True,True,statistical,True,win
2025-06-19,4,Thursday,261158324003002,Spectrum,Comcast,Michigan,"Detroit, MI",1.0,Thursday,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10000000000.0,0.0,0.0,0.0,True,True,True,statistical,True,win
2025-06-19,4,Thursday,261251271003000,Comcast,Spectrum,Michigan,"Detroit, MI",0.0,Thursday,0.75,0.5,0.0,1.0,0.75,1.0,4.0,-1.4999999997,0.25,0.375,1.375,False,True,True,statistical,True,win
2025-06-19,4,Thursday,261251284001009,Comcast,AT&T,Michigan,"Detroit, MI",1.0,Thursday,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10000000000.0,0.0,0.0,0.0,True,True,True,statistical,True,win
2025-06-19,4,Thursday,261635065001009,Comcast,AT&T,Michigan,"Detroit, MI",0.0,Thursday,1.0,0.0,1.0,1.0,1.0,1.0,2.0,-10000000000.0,0.0,1.0,1.0,True,True,True,statistical,True,win
2025-06-19,4,Thursday,261635396002024,T-Mobile FWA,Comcast,Michigan,"Detroit, MI",1.0,Thursday,0.2,0.4472135954999579,0.0,1.0,0.0,0.0,5.0,1.788854381599832,0.0,0.0,0.0,False,True,True,statistical,True,win
2025-06-19,4,Thursday,261635456003003,Comcast,T-Mobile FWA,Michigan,"Detroit, MI",0.0,Thursday,1.0,0.0,1.0,1.0,1.0,1.0,2.0,-10000000000.0,0.0,1.0,1.0,True,True,True,statistical,True,win
2025-06-19,4,Thursday,261635524002012,Comcast,AT&T,Michigan,"Detroit, MI",1.0,Thursday,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10000000000.0,0.0,0.0,0.0,True,True,True,statistical,True,win
2025-06-19,4,Thursday,261635773003009,WOW!,Comcast,Michigan,"Detroit, MI",1.0,Thursday,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10000000000.0,0.0,0.0,0.0,True,True,True,statistical,True,win
2025-06-19,4,Thursday,260250019001015,Comcast,T-Mobile FWA,Michigan,"Grand Rapids-Kalamazoo-Battle Creek, MI",1.0,Thursday,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10000000000.0,0.0,0.0,0.0,True,True,True,statistical,True,win
2025-06-19,4,Thursday,260250033002015,WOW!,Comcast,Michigan,"Grand Rapids-Kalamazoo-Battle Creek, MI",2.0,Thursday,0.25,0.5,0.0,1.0,0.0,0.25,4.0,3.4999999993,0.25,-0.375,0.625,True,True,True,statistical,True,win
2025-06-19,4,Thursday,261179711004018,Spectrum,Comcast,Michigan,"Grand Rapids-Kalamazoo-Battle Creek, MI",1.0,Thursday,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10000000000.0,0.0,0.0,0.0,True,True,True,statistical,True,win
2025-06-19,4,Thursday,261390218013013,Spectrum,Comcast,Michigan,"Grand Rapids-Kalamazoo-Battle Creek, MI",0.0,Thursday,1.0,0.0,1.0,1.0,1.0,1.0,2.0,-10000000000.0,0.0,1.0,1.0,True,True,True,statistical,True,win
2025-06-19,4,Thursday,260450204023017,Comcast,Metronet,Michigan,"Lansing, MI",1.0,Thursday,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10000000000.0,0.0,0.0,0.0,True,True,True,statistical,True,win
2025-06-19,4,Thursday,260650026002013,Metronet,Comcast,Michigan,"Lansing, MI",0.0,Thursday,1.5,0.7071067811865476,1.0,2.0,1.25,1.75,2.0,-2.1213203432596424,0.5,0.5,2.5,False,True,True,statistical,True,win
2025-06-19,4,Thursday,260910616001028,Comcast,Frontier,Michigan,"Toledo, OH-MI",1.0,Thursday,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10000000000.0,0.0,0.0,0.0,True,True,True,statistical,True,win
2025-06-19,4,Thursday,260339701003021,Spectrum,Comcast,Michigan,"Traverse City-Cadillac, MI",0.0,Thursday,0.8333333333333334,0.408248290463863,0.0,1.0,1.0,1.0,6.0,-2.041241451819315,0.0,1.0,1.0,False,True,True,statistical,True,win
2025-06-19,4,Thursday,270359502042021,Emily Cooperative Telephone Company,Comcast,Minnesota,"Minneapolis-St. Paul, MN-WI",4.0,Thursday,0.75,0.49999999999999994,0.0,1.0,0.75,1.0,4.0,6.499999998700002,0.25,0.375,1.375,True,True,True,statistical,True,win
2025-06-19,4,Thursday,271230319001017,CenturyLink,Comcast,Minnesota,"Minneapolis-St. Paul, MN-WI",0.0,Thursday,1.375,0.7440238091428449,1.0,3.0,1.0,1.25,8.0,-1.8480591385902922,0.25,0.625,1.625,False,True,True,statistical,True,win
2025-06-19,4,Thursday,271390801001029,Mediacom,Comcast,Minnesota,"Minneapolis-St. Paul, MN-WI",0.0,Thursday,1.0,0.0,1.0,1.0,1.0,1.0,3.0,-10000000000.0,0.0,1.0,1.0,True,True,True,statistical,True,win
2025-06-19,4,Thursday,271450006011003,Spectrum,Midcontinent,Minnesota,"Minneapolis-St. Paul, MN-WI",0.0,Thursday,1.0,0.0,1.0,1.0,1.0,1.0,3.0,-10000000000.0,0.0,1.0,1.0,True,True,True,statistical,True,win
2025-06-19,4,Thursday,271450113022080,Midcontinent,Spectrum,Minnesota,"Minneapolis-St. Paul, MN-WI",1.0,Thursday,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10000000000.0,0.0,0.0,0.0,True,True,True,statistical,True,win
2025-06-19,4,Thursday,271090006004002,Spectrum,Comcast,Minnesota,"Rochester-Mason City-Austin, MN-IA-IL",2.0,Thursday,1.0,0.0,1.0,1.0,1.0,1.0,2.0,10000000000.0,0.0,1.0,1.0,True,True,True,statistical,True,win
2025-06-19,4,Thursday,280679507001007,Comcast,AT&T,Mississippi,"Hattiesburg-Laurel, MS",0.0,Thursday,1.5,0.7071067811865476,1.0,2.0,1.25,1.75,2.0,-2.1213203432596424,0.5,0.5,2.5,False,True,True,statistical,True,win
2025-06-19,4,Thursday,280490005002006,Comcast,Spectrum,Mississippi,"Jackson, MS",1.0,Thursday,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10000000000.0,0.0,0.0,0.0,True,True,True,statistical,True,win
2025-06-19,4,Thursday,280490106002001,AT&T,Comcast,Mississippi,"Jackson, MS",0.0,Thursday,1.0,0.0,1.0,1.0,1.0,1.0,2.0,-10000000000.0,0.0,1.0,1.0,True,True,True,statistical,True,win
2025-06-19,4,Thursday,280330703251013,AT&T,Comcast,Mississippi,"Memphis, TN-MS-AR",0.0,Thursday,1.0,0.7071067811865476,0.0,2.0,1.0,1.0,5.0,-1.414213562173095,0.0,1.0,1.0,False,True,True,statistical,True,win
2025-06-19,4,Thursday,281439502003036,Comcast,AT&T,Mississippi,"Memphis, TN-MS-AR",1.0,Thursday,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10000000000.0,0.0,0.0,0.0,True,True,True,statistical,True,win
2025-06-19,4,Thursday,290970101001012,Cable One,Comcast,Missouri,"Joplin-Pittsburg, MO-KS-OK",0.0,Thursday,1.0,0.0,1.0,1.0,1.0,1.0,2.0,-10000000000.0,0.0,1.0,1.0,True,True,True,statistical,True,win
