dma,state,total_blocks,unique_blocks_to_suppress,total_suppression_records,retention_rate_pct
"Los Angeles, CA-NV",California,591,275,719,53.46869712351946
"New York, NY-NJ-CT-PA",New York,383,205,517,46.47519582245431
"Chicago, IL-IN",Illinois,367,203,552,44.6866485013624
"Tampa-St. Petersburg, FL",Florida,319,164,425,48.589341692789965
"Dallas-Ft. Worth, TX",Texas,264,163,427,38.25757575757576
"Minneapolis-St. Paul, MN-WI",Minnesota,208,158,343,24.03846153846154
"New York, NY-NJ-CT-PA",New Jersey,257,142,327,44.74708171206226
"San Francisco-Oakland-San Jose, CA",California,250,137,395,45.2
"Denver, CO-WY-NE",Colorado,200,132,306,34.0
"Houston, TX",Texas,225,130,343,42.22222222222222
"Seattle-Tacoma, WA",Washington,217,125,291,42.3963133640553
"Cleveland-Akron, OH",Ohio,215,123,281,42.7906976744186
"Phoenix, AZ",Arizona,225,119,266,47.11111111111111
"San Antonio, TX",Texas,186,114,274,38.70967741935484
"Orlando-Daytona Beach-Melbourne, FL",Florida,190,112,293,41.05263157894737
"Nashville, TN-KY",Tennessee,158,109,236,31.0126582278481
"Detroit, MI",Michigan,225,108,278,52.0
"Miami-Ft. Lauderdale, FL",Florida,176,99,244,43.75
"Pittsburgh, PA-WV-MD",Pennsylvania,151,98,228,35.099337748344375
"Atlanta, GA-AL-NC",Georgia,171,98,246,42.69005847953216
"Philadelphia, PA-NJ-DE",Pennsylvania,200,95,223,52.5
"Indianapolis, IN",Indiana,144,94,227,34.72222222222222
"Salt Lake City, UT-WY-NV-ID",Utah,113,91,255,19.469026548672566
"Boston, MA-NH-VT",Massachusetts,188,90,233,52.12765957446809
"Hartford & New Haven, CT",Connecticut,167,90,210,46.10778443113773
"Charlotte, NC-SC",North Carolina,151,89,216,41.05960264900662
"Grand Rapids-Kalamazoo-Battle Creek, MI",Michigan,124,82,193,33.87096774193548
"Raleigh-Durham, NC-VA",North Carolina,129,79,214,38.759689922480625
"Baltimore, MD",Maryland,144,75,189,47.91666666666667
"Washington, DC-VA-MD-WV-PA",Maryland,132,74,165,43.93939393939394
"Sacramento-Stockton-Modesto, CA",California,169,72,185,57.396449704142015
"Milwaukee, WI",Wisconsin,133,71,189,46.616541353383454
"Oklahoma City, OK",Oklahoma,94,68,166,27.659574468085108
"St. Louis, MO-IL",Missouri,108,66,155,38.88888888888889
"Washington, DC-VA-MD-WV-PA",Virginia,129,65,159,49.6124031007752
"Knoxville, TN-KY",Tennessee,86,65,152,24.418604651162788
"Norfolk-Portsmouth-Newport News, VA-NC",Virginia,103,64,146,37.86407766990291
"Birmingham, AL",Alabama,103,64,148,37.86407766990291
"Greensboro-High Point-Winston Salem, NC-VA",North Carolina,107,63,153,41.1214953271028
"Wilkes Barre-Scranton-Hazelton, PA",Pennsylvania,107,63,154,41.1214953271028
"Wichita-Hutchinson Plus, KS",Kansas,80,63,302,21.25
"Portland, OR-WA",Oregon,109,62,137,43.11926605504588
"San Diego, CA",California,97,62,168,36.08247422680412
"Las Vegas, NV",Nevada,107,60,136,43.925233644859816
"Little Rock-Pine Bluff, AR",Arkansas,78,59,139,24.358974358974358
"Kansas City, MO-KS",Missouri,81,58,154,28.39506172839506
"Columbus, OH",Ohio,104,55,139,47.11538461538461
"Philadelphia, PA-NJ-DE",New Jersey,113,55,115,51.32743362831859
"Harrisburg-Lancaster-Lebanon-York, PA",Pennsylvania,98,54,123,44.89795918367347
"West Palm Beach-Ft. Pierce, FL",Florida,95,53,128,44.21052631578947
"Cincinnati, OH-KY-IN",Ohio,82,53,128,35.36585365853659
"Greenville-Spartanburg-Asheville-Anderson, SC-NC-GA",South Carolina,76,53,140,30.263157894736842
"Memphis, TN-MS-AR",Tennessee,84,52,127,38.095238095238095
"Albuquerque-Santa Fe, NM-CO-AZ",New Mexico,61,49,123,19.672131147540984
"Buffalo, NY-PA",New York,82,49,127,40.243902439024396
"New Orleans, LA-MS",Louisiana,72,48,113,33.33333333333333
"Jacksonville, FL-GA",Florida,72,47,119,34.72222222222222
"Columbia, SC",South Carolina,64,46,119,28.125
"Green Bay-Appleton, WI-MI",Wisconsin,74,46,114,37.83783783783784
"Traverse City-Cadillac, MI",Michigan,62,45,90,27.419354838709676
"Burlington-Plattsburgh, VT-NY-NH",Vermont,53,44,94,16.9811320754717
"Tulsa, OK-KS",Oklahoma,66,44,120,33.33333333333333
"Champaign & Springfield-Decatur, IL",Illinois,65,44,103,32.30769230769231
"Flint-Saginaw-Bay City, MI",Michigan,69,44,103,36.231884057971016
"Omaha, NE-IA-MO",Nebraska,61,44,134,27.86885245901639
"St. Louis, MO-IL",Illinois,63,43,107,31.746031746031743
"Portland-Auburn, ME-NH",Maine,65,42,95,35.38461538461539
"Ft. Myers-Naples, FL",Florida,66,42,117,36.36363636363637
"Fresno-Visalia, CA",California,73,42,106,42.465753424657535
"Dayton, OH",Ohio,72,40,116,44.44444444444444
"Des Moines-Ames, IA",Iowa,45,38,94,15.555555555555555
"Boston, MA-NH-VT",New Hampshire,70,38,82,45.714285714285715
"Roanoke-Lynchburg, VA-WV",Virginia,50,38,90,24.0
"Richmond-Petersburg, VA",Virginia,67,38,95,43.28358208955223
"Austin, TX",Texas,53,37,81,30.18867924528302
"Louisville, KY-IN",Kentucky,62,36,96,41.935483870967744
"Lexington, KY",Kentucky,59,35,89,40.67796610169492
"Madison, WI",Wisconsin,56,33,79,41.07142857142857
"Charleston-Huntington, WV-KY-OH",West Virginia,55,33,80,40.0
"Providence-New Bedford, RI-MA",Rhode Island,56,33,68,41.07142857142857
"Ft. Wayne, IN-OH",Indiana,50,33,87,34.0
"Rochester, NY",New York,51,32,68,37.254901960784316
"Kansas City, MO-KS",Kansas,38,32,90,15.789473684210526
