the_date,census_blockid,winner,loser,state,dma_name,metric_value,avg_historical,std_historical,historical_days,spike_ratio,outlier_type,mover_ind,metric_type
2025-08-15,060372715003003,Spectrum,T-Mobile FWA,California,"Los Angeles, CA-NV",1.0,0.0,0.0,4,,volume_spike,True,win
2025-08-15,060372933011002,Frontier,Spectrum,California,"Los Angeles, CA-NV",1.0,0.16666666666666666,0.408248290463863,6,6.0,volume_spike,True,win
2025-08-15,060374022003002,Spectrum,Frontier,California,"Los Angeles, CA-NV",1.0,0.16666666666666666,0.38924947208076144,12,6.0,volume_spike,True,win
2025-08-15,060375336033006,AT&T,Spectrum,California,"Los Angeles, CA-NV",2.0,0.30434782608695654,0.4704719688969648,23,6.571428571428571,volume_spike,True,win
2025-08-15,060376014023005,AT&T,Spectrum,California,"Los Angeles, CA-NV",3.0,0.08,0.2768874620972691,25,37.5,volume_spike,True,win
2025-08-15,060376511012019,Spectrum,AT&T,California,"Los Angeles, CA-NV",1.0,0.0,0.0,4,,volume_spike,True,win
2025-08-15,060376511012047,Spectrum,AT&T,California,"Los Angeles, CA-NV",1.0,0.16666666666666666,0.408248290463863,6,6.0,volume_spike,True,win
2025-08-15,060379201022039,Frontier,Spectrum,California,"Los Angeles, CA-NV",1.0,0.0,0.0,3,,volume_spike,True,win
2025-08-15,060590111022008,Spectrum,Verizon FWA,California,"Los Angeles, CA-NV",1.0,0.0,0.0,5,,volume_spike,True,win
2025-08-15,060590423313000,Cox Communications,AT&T,California,"Los Angeles, CA-NV",1.0,0.14285714285714285,0.37796447300922725,7,7.0,volume_spike,True,win
2025-08-15,060590632013000,AT&T,Spectrum,California,"Los Angeles, CA-NV",3.0,0.4090909090909091,0.5032362797401965,22,7.333333333333333,volume_spike,True,win
2025-08-15,060590748031026,Spectrum,T-Mobile FWA,California,"Los Angeles, CA-NV",1.0,0.1111111111111111,0.3333333333333333,9,9.0,volume_spike,True,win
2025-08-15,060590753032003,Spectrum,T-Mobile FWA,California,"Los Angeles, CA-NV",1.0,0.0,0.0,14,,volume_spike,True,win
2025-08-15,060590999033007,Frontier,Spectrum,California,"Los Angeles, CA-NV",1.0,0.18181818181818182,0.40451991747794525,11,5.5,volume_spike,True,win
2025-08-15,060650317022001,Spectrum,Frontier,California,"Los Angeles, CA-NV",1.0,0.1875,0.39655776945626603,32,5.333333333333333,volume_spike,True,win
2025-08-15,060650317022001,Spectrum,Verizon FWA,California,"Los Angeles, CA-NV",1.0,0.125,0.3535533905932738,8,8.0,volume_spike,True,win
2025-08-15,060650415001006,AT&T,Spectrum,California,"Los Angeles, CA-NV",1.0,0.09090909090909091,0.2908033634511526,44,11.0,volume_spike,True,win
2025-08-15,060710045031000,Spectrum,Frontier,California,"Los Angeles, CA-NV",1.0,0.07142857142857142,0.26066118021500656,42,14.0,volume_spike,True,win
2025-08-15,060710057012006,Spectrum,Cable One,California,"Los Angeles, CA-NV",1.0,0.0,0.0,3,,volume_spike,True,win
2025-08-15,060710108032003,Spectrum,Frontier,California,"Los Angeles, CA-NV",1.0,0.18604651162790697,0.4501753073070202,43,5.375,volume_spike,True,win
2025-08-15,060710120023001,Spectrum,Frontier,California,"Los Angeles, CA-NV",1.0,0.0,0.0,26,,volume_spike,True,win
2025-08-15,060670029002017,AT&T,Comcast,California,"Sacramento-Stockton-Modesto, CA",1.0,0.0,0.0,10,,volume_spike,True,win
2025-08-15,060990017001040,AT&T,T-Mobile FWA,California,"Sacramento-Stockton-Modesto, CA",1.0,0.0,0.0,5,,volume_spike,True,win
2025-08-15,060990021001013,Comcast,Verizon FWA,California,"Sacramento-Stockton-Modesto, CA",1.0,0.16666666666666666,0.408248290463863,6,6.0,volume_spike,True,win
2025-08-15,061150403021013,AT&T,Comcast,California,"Sacramento-Stockton-Modesto, CA",1.0,0.0,0.0,10,,volume_spike,True,win
2025-08-15,060730029033001,Cox Communications,Comcast,California,"San Diego, CA",2.0,0.3333333333333333,0.5163977794943222,6,6.0,volume_spike,True,win
2025-08-15,060730100053003,AT&T,Cox Communications,California,"San Diego, CA",1.0,0.14285714285714285,0.37796447300922725,7,7.0,volume_spike,True,win
2025-08-15,060730123032002,Cox Communications,Comcast,California,"San Diego, CA",1.0,0.0,0.0,4,,volume_spike,True,win
2025-08-15,060014301011003,AT&T,Comcast,California,"San Francisco-Oakland-San Jose, CA",1.0,0.125,0.3535533905932738,8,8.0,volume_spike,True,win
2025-08-15,060014366022007,Comcast,Spectrum,California,"San Francisco-Oakland-San Jose, CA",1.0,0.13333333333333333,0.35186577527449836,15,7.5,volume_spike,True,win
2025-08-15,060014382011002,Comcast,T-Mobile FWA,California,"San Francisco-Oakland-San Jose, CA",1.0,0.0,0.0,4,,volume_spike,True,win
2025-08-15,060014403041008,AT&T,Comcast,California,"San Francisco-Oakland-San Jose, CA",1.0,0.0,0.0,3,,volume_spike,True,win
2025-08-15,060133373006000,AT&T,Comcast,California,"San Francisco-Oakland-San Jose, CA",1.0,0.0,0.0,6,,volume_spike,True,win
2025-08-15,060133373006000,Spectrum,Comcast,California,"San Francisco-Oakland-San Jose, CA",1.0,0.0,0.0,3,,volume_spike,True,win
2025-08-15,060133383022007,Astound Broadband,Spectrum,California,"San Francisco-Oakland-San Jose, CA",1.0,0.0,0.0,4,,volume_spike,True,win
2025-08-15,060133512003001,AT&T,Comcast,California,"San Francisco-Oakland-San Jose, CA",2.0,0.2857142857142857,0.4879500364742666,7,7.0,volume_spike,True,win
2025-08-15,060330007021028,Mediacom,T-Mobile FWA,California,"San Francisco-Oakland-San Jose, CA",1.0,0.16666666666666666,0.408248290463863,6,6.0,volume_spike,True,win
2025-08-15,060552002012019,AT&T,Comcast,California,"San Francisco-Oakland-San Jose, CA",1.0,0.0,0.0,3,,volume_spike,True,win
2025-08-15,060855042023005,AT&T,Spectrum,California,"San Francisco-Oakland-San Jose, CA",1.0,0.0,0.0,4,,volume_spike,True,win
2025-08-15,060855126021025,Spectrum,Comcast,California,"San Francisco-Oakland-San Jose, CA",1.0,0.0,0.0,11,,volume_spike,True,win
2025-08-15,060971530055003,AT&T,Comcast,California,"San Francisco-Oakland-San Jose, CA",1.0,0.18181818181818182,0.40451991747794525,11,5.5,volume_spike,True,win
2025-08-15,080410027002003,CenturyLink,Comcast,Colorado,"Colorado Springs-Pueblo, CO",1.0,0.14285714285714285,0.3631365196012814,14,7.0,volume_spike,True,win
2025-08-15,080410037051005,Comcast,AT&T,Colorado,"Colorado Springs-Pueblo, CO",1.0,0.0,0.0,5,,volume_spike,True,win
2025-08-15,080410049012020,Comcast,Verizon FWA,Colorado,"Colorado Springs-Pueblo, CO",1.0,0.0,0.0,4,,volume_spike,True,win
2025-08-15,080010094081055,Comcast,Spectrum,Colorado,"Denver, CO-WY-NE",1.0,0.19047619047619047,0.40237390808147816,21,5.25,volume_spike,True,win
2025-08-15,080050067051004,CenturyLink,Comcast,Colorado,"Denver, CO-WY-NE",1.0,0.17857142857142858,0.3900210277874798,28,5.6,volume_spike,True,win
2025-08-15,080050843002004,Comcast,Verizon FWA,Colorado,"Denver, CO-WY-NE",1.0,0.0,0.0,4,,volume_spike,True,win
2025-08-15,080310010001011,CenturyLink,Comcast,Colorado,"Denver, CO-WY-NE",2.0,0.2777777777777778,0.46088859896247686,18,7.199999999999999,volume_spike,True,win
2025-08-15,080590104051001,Comcast,Spectrum,Colorado,"Denver, CO-WY-NE",1.0,0.16666666666666666,0.3892494720807615,12,6.0,volume_spike,True,win
2025-08-15,080590118063000,CenturyLink,Comcast,Colorado,"Denver, CO-WY-NE",1.0,0.0,0.0,19,,volume_spike,True,win
2025-08-15,080690019011027,Loveland Pulse,Comcast,Colorado,"Denver, CO-WY-NE",1.0,0.041666666666666664,0.2041241452319315,24,24.0,volume_spike,True,win
2025-08-15,081230020072007,Comcast,Spectrum,Colorado,"Denver, CO-WY-NE",1.0,0.0,0.0,3,,volume_spike,True,win
