the_date,census_blockid,state,dma_name,winner,loser,metric_value,mean_val,stddev_val,q1,q3,iqr,z_score,iqr_flag
2025-08-16,201550018002021,Kansas,"Wichita-Hutchinson Plus, KS",T-Mobile FWA,Spectrum,26.0,0.5609801837844596,0.631919766455145,0.0,1.0,1.0,40.25672429732621,HIGH_IQR
2025-08-16,201550018002021,Kansas,"Wichita-Hutchinson Plus, KS",T-Mobile FWA,Comcast,23.0,0.5609801837844596,0.631919766455145,0.0,1.0,1.0,35.509286158416614,HIGH_IQR
2025-08-17,201550018002021,Kansas,"Wichita-Hutchinson Plus, KS",T-Mobile FWA,Comcast,20.0,0.5567171582280895,0.6207253066368185,0.0,1.0,1.0,31.32348984950927,HIGH_IQR
2025-08-17,201550018002021,Kansas,"Wichita-Hutchinson Plus, KS",Verizon FWA,Comcast,19.0,0.5567171582280895,0.6207253066368185,0.0,1.0,1.0,29.712471272841036,HIGH_IQR
2025-06-19,201550018002021,Kansas,"Wichita-Hutchinson Plus, KS",Spectrum,Comcast,17.0,0.5414322575187175,0.5701866550946908,0.0,1.0,1.0,28.86522789585107,HIGH_IQR
2025-08-15,201550018002021,Kansas,"Wichita-Hutchinson Plus, KS",T-Mobile FWA,Spectrum,16.0,0.5457656553274083,0.6012660517064814,0.0,1.0,1.0,25.702822071545874,HIGH_IQR
2025-08-15,201550018002021,Kansas,"Wichita-Hutchinson Plus, KS",T-Mobile FWA,Comcast,15.0,0.5457656553274083,0.6012660517064814,0.0,1.0,1.0,24.039664810027695,HIGH_IQR
2025-08-17,201550018002021,Kansas,"Wichita-Hutchinson Plus, KS",T-Mobile FWA,Spectrum,15.0,0.5567171582280895,0.6207253066368185,0.0,1.0,1.0,23.2683969661681,HIGH_IQR
2025-08-17,201550018002021,Kansas,"Wichita-Hutchinson Plus, KS",Verizon FWA,Spectrum,14.0,0.5567171582280895,0.6207253066368185,0.0,1.0,1.0,21.65737838949987,HIGH_IQR
2025-08-15,201550018002021,Kansas,"Wichita-Hutchinson Plus, KS",Verizon FWA,Comcast,13.0,0.5457656553274083,0.6012660517064814,0.0,1.0,1.0,20.713350286991332,HIGH_IQR
2025-08-16,201550018002021,Kansas,"Wichita-Hutchinson Plus, KS",Verizon FWA,Comcast,13.0,0.5609801837844596,0.631919766455145,0.0,1.0,1.0,19.684492362051294,HIGH_IQR
2025-08-16,260339701003021,Michigan,"Traverse City-Cadillac, MI",Spectrum,Packerland Broadband,13.0,0.5609801837844596,0.631919766455145,0.0,1.0,1.0,19.684492362051294,HIGH_IQR
2025-08-15,260339701003021,Michigan,"Traverse City-Cadillac, MI",Spectrum,Packerland Broadband,12.0,0.5457656553274083,0.6012660517064814,0.0,1.0,1.0,19.050193025473153,HIGH_IQR
2025-08-18,201550018002021,Kansas,"Wichita-Hutchinson Plus, KS",Verizon FWA,Spectrum,8.0,0.5384761182714177,0.5704086455082729,0.0,1.0,1.0,13.081014708463714,HIGH_IQR
2025-06-19,201550018002021,Kansas,"Wichita-Hutchinson Plus, KS",Spectrum,AT&T,8.0,0.5414322575187175,0.5701866550946908,0.0,1.0,1.0,13.080923020274193,HIGH_IQR
2025-08-15,201550018002021,Kansas,"Wichita-Hutchinson Plus, KS",Spectrum,Comcast,8.0,0.5457656553274083,0.6012660517064814,0.0,1.0,1.0,12.397563979400433,HIGH_IQR
2025-08-16,201550018002021,Kansas,"Wichita-Hutchinson Plus, KS",T-Mobile FWA,AT&T,8.0,0.5609801837844596,0.631919766455145,0.0,1.0,1.0,11.772095463868636,HIGH_IQR
2025-08-16,484279506021005,,,Spectrum,Frontier,7.0,0.5609801837844596,0.631919766455145,0.0,1.0,1.0,10.189616084232105,HIGH_IQR
2025-08-18,260339701003021,Michigan,"Traverse City-Cadillac, MI",Spectrum,Packerland Broadband,6.0,0.5384761182714177,0.5704086455082729,0.0,1.0,1.0,9.574756492096983,HIGH_IQR
2025-08-18,201550018002021,Kansas,"Wichita-Hutchinson Plus, KS",Spectrum,Comcast,6.0,0.5384761182714177,0.5704086455082729,0.0,1.0,1.0,9.574756492096983,HIGH_IQR
2025-08-18,201550018002021,Kansas,"Wichita-Hutchinson Plus, KS",Verizon FWA,Comcast,6.0,0.5384761182714177,0.5704086455082729,0.0,1.0,1.0,9.574756492096983,HIGH_IQR
2025-06-19,201550018002021,Kansas,"Wichita-Hutchinson Plus, KS",Verizon FWA,Spectrum,6.0,0.5414322575187175,0.5701866550946908,0.0,1.0,1.0,9.573299714590442,HIGH_IQR
2025-08-16,180950103003022,Indiana,"Indianapolis, IN",Metronet,Comcast,6.0,0.5609801837844596,0.631919766455145,0.0,1.0,1.0,8.607136704595572,HIGH_IQR
