census_blockid,state,dma_name,winner,loser,date_count,avg_value,stddev_value,max_value,min_value,range_value,coefficient_of_variation
421010183003014,Pennsylvania,"Philadelphia, PA-NJ-DE",Verizon,Comcast,5,0.2,0.4472135954999579,1.0,0.0,1.0,5.0
131171304121002,,,AT&T,Comcast,5,0.2,0.4472135954999579,1.0,0.0,1.0,5.0
060710091321020,,,Spectrum,Frontier,5,0.2,0.4472135954999579,1.0,0.0,1.0,5.0
530350929021000,Washington,"Seattle-Tacoma, WA",Astound Broadband,Comcast,5,0.2,0.4472135954999579,1.0,0.0,1.0,5.0
090116933003003,Connecticut,"Hartford & New Haven, CT",Frontier,Comcast,5,0.2,0.4472135954999579,1.0,0.0,1.0,5.0
410510035011007,Oregon,"Portland, OR-WA",CenturyLink,Comcast,5,0.4,0.8944271909999159,2.0,0.0,2.0,5.0
060374619021014,California,"Los Angeles, CA-NV",T-Mobile FWA,AT&T,5,0.2,0.4472135954999579,1.0,0.0,1.0,5.0
482014519043007,,,AT&T,Comcast,5,0.2,0.4472135954999579,1.0,0.0,1.0,5.0
490490101320002,,,Comcast,Spectrum,5,0.2,0.4472135954999579,1.0,0.0,1.0,5.0
490351103002004,Utah,"Salt Lake City, UT-WY-NV-ID",Google Fiber,Comcast,5,0.2,0.4472135954999579,1.0,0.0,1.0,5.0
370570615012027,,,Windstream,Spectrum,5,0.4,0.8944271909999159,2.0,0.0,2.0,5.0
