the_date,winner,loser,state,dma_name,census_blockid,remove_units,stage,pair_z,pair_wins_current,pair_mu_wins,cb_z,cb_wins_current,cb_mu_wins,cb_is_first_appearance,is_first_appearance
2025-06-19,Packerland Broadband,Norvado,Wisconsin,"Green Bay-Appleton, WI",,1.0,stage2_distributed,1.0,1.0,0.0,,,,,
2025-06-19,Packerland Broadband,Spectrum,Michigan,"Marquette, MI",,1.0,stage2_distributed,1.0,1.0,0.0,,,,,
2025-06-19,Packerland Broadband,Starlink,Michigan,"Traverse City-Cadillac, MI",,1.0,stage2_distributed,1.0,1.0,0.0,,,,,
2025-06-19,Packerland Broadband,Spectrum,Michigan,"Traverse City-Cadillac, MI",,1.0,stage2_distributed,-0.5773502691896258,1.0,1.25,,,,,
2025-06-19,Packerland Broadband,Comcast,Wisconsin,"Wausau-Rhinelander, WI",,1.0,stage2_distributed,,1.0,1.0,,,,,
2025-06-21,Comcast,AT&T,Florida,"Tallahassee, FL-Thomasville, GA",120730003022025,1.0,stage1_census_block,8.072802418546416,,,1.0,1.0,0.0,True,
2025-06-21,Comcast,AT&T,Florida,"Tallahassee, FL-Thomasville, GA",120730009075007,1.0,stage1_census_block,8.072802418546416,,,1.0,1.0,0.0,True,
2025-06-21,Comcast,AT&T,Florida,"Tallahassee, FL-Thomasville, GA",120730020031021,1.0,stage1_census_block,8.072802418546416,,,1.0,1.0,0.0,True,
2025-06-21,Comcast,AT&T,Florida,"Tallahassee, FL-Thomasville, GA",120730027013002,1.0,stage1_census_block,8.072802418546416,,,1.0,1.0,0.0,True,
2025-06-21,Comcast,AT&T,Florida,"Tallahassee, FL-Thomasville, GA",120791103012005,1.0,stage1_census_block,8.072802418546416,,,1.0,1.0,0.0,True,
2025-06-21,Comcast,AT&T,Florida,"Tallahassee, FL-Thomasville, GA",120791103021045,1.0,stage1_census_block,8.072802418546416,,,1.0,1.0,0.0,True,
2025-06-21,Comcast,AT&T,Florida,"Tallahassee, FL-Thomasville, GA",121290102071041,1.0,stage1_census_block,8.072802418546416,,,1.0,1.0,0.0,True,
