the_date,state,dma_name,winner,loser,unique_blocks,total_metric,avg_metric,max_metric,z_score
2025-08-16,,,AT&T,Comcast,234,201.0,0.8589743589743589,5.0,36.7927781832564
2025-08-16,,,AT&T,Spectrum,236,194.0,0.8220338983050848,4.0,35.50115219710343
2025-08-17,,,AT&T,Spectrum,188,163.0,0.8670212765957447,6.0,29.78109425842601
2025-08-16,California,"Los Angeles, CA-NV",Frontier,Spectrum,99,127.0,1.2828282828282829,8.0,23.138446329639322
2025-08-17,,,AT&T,Comcast,167,127.0,0.7604790419161677,4.0,23.138446329639322
2025-08-16,California,"Los Angeles, CA-NV",AT&T,Spectrum,95,118.0,1.2421052631578948,10.0,21.47778434744265
2025-08-17,California,"Los Angeles, CA-NV",AT&T,Spectrum,94,118.0,1.2553191489361701,11.0,21.47778434744265
2025-08-15,,,AT&T,Spectrum,161,117.0,0.7267080745341615,3.0,21.293266349420797
2025-08-17,California,"Los Angeles, CA-NV",Frontier,Spectrum,85,117.0,1.3764705882352941,5.0,21.293266349420797
2025-06-19,,,AT&T,Spectrum,177,99.0,0.559322033898305,4.0,17.971942385027454
2025-06-19,,,Spectrum,AT&T,177,97.0,0.5480225988700564,2.0,17.602906388983747
2025-08-16,,,Frontier,Spectrum,106,96.0,0.9056603773584906,4.0,17.418388390961894
2025-08-16,,,Spectrum,AT&T,236,95.0,0.4025423728813559,2.0,17.233870392940045
2025-08-16,,,Comcast,AT&T,234,94.0,0.4017094017094017,4.0,17.04935239491819
2025-08-17,California,"San Francisco-Oakland-San Jose, CA",AT&T,Comcast,62,91.0,1.467741935483871,17.0,16.495798400852635
2025-08-17,,,Frontier,Spectrum,90,90.0,1.0,4.0,16.311280402830782
2025-08-15,,,AT&T,Comcast,119,86.0,0.7226890756302521,3.0,15.573208410743371
2025-08-15,California,"Los Angeles, CA-NV",AT&T,Spectrum,77,81.0,1.051948051948052,9.0,14.65061842063411
2025-08-17,,,Comcast,AT&T,167,81.0,0.48502994011976047,3.0,14.65061842063411
2025-08-16,,,T-Mobile FWA,Spectrum,105,80.0,0.7619047619047619,3.0,14.466100422612257
2025-08-16,California,"San Francisco-Oakland-San Jose, CA",AT&T,Comcast,56,79.0,1.4107142857142858,20.0,14.281582424590404
2025-08-15,California,"Los Angeles, CA-NV",Frontier,Spectrum,79,77.0,0.9746835443037974,4.0,13.9125464285467
2025-08-15,,,Spectrum,AT&T,161,77.0,0.4782608695652174,2.0,13.9125464285467
2025-08-17,,,Spectrum,AT&T,188,76.0,0.40425531914893614,3.0,13.728028430524848
2025-06-19,,,Comcast,AT&T,129,76.0,0.5891472868217055,3.0,13.728028430524848
2025-08-17,,,T-Mobile FWA,Spectrum,84,70.0,0.8333333333333334,2.0,12.620920442393732
2025-06-19,,,AT&T,Comcast,129,68.0,0.5271317829457365,3.0,12.251884446350028
2025-06-19,,,T-Mobile FWA,Spectrum,87,65.0,0.7471264367816092,2.0,11.698330452284472
2025-08-16,,,AT&T,Cox Communications,50,60.0,1.2,7.0,10.775740462175209
2025-08-16,,,T-Mobile FWA,Comcast,84,59.0,0.7023809523809523,2.0,10.591222464153356
2025-06-19,,,T-Mobile FWA,Comcast,80,58.0,0.725,2.0,10.406704466131504
2025-08-18,,,AT&T,Spectrum,105,58.0,0.5523809523809524,2.0,10.406704466131504
2025-08-15,,,Frontier,Spectrum,66,54.0,0.8181818181818182,3.0,9.668632474044093
2025-08-18,,,Spectrum,AT&T,105,53.0,0.5047619047619047,2.0,9.484114476022242
2025-08-15,California,"San Francisco-Oakland-San Jose, CA",AT&T,Comcast,39,50.0,1.2820512820512822,15.0,8.930560481956684
2025-08-16,Florida,"Tampa-St. Petersburg, FL",Frontier,Spectrum,52,50.0,0.9615384615384616,2.0,8.930560481956684
2025-08-16,Illinois,"Chicago, IL-IN",AT&T,Comcast,60,49.0,0.8166666666666667,2.0,8.746042483934833
2025-08-16,New York,"New York, NY-NJ-CT-PA",Altice,Verizon,57,46.0,0.8070175438596491,3.0,8.192488489869275
2025-06-19,California,"Los Angeles, CA-NV",Spectrum,AT&T,55,45.0,0.8181818181818182,3.0,8.007970491847422
2025-08-15,,,Comcast,AT&T,119,45.0,0.37815126050420167,2.0,8.007970491847422
2025-08-16,,,Spectrum,Frontier,106,45.0,0.42452830188679247,3.0,8.007970491847422
2025-08-16,,,Verizon FWA,Spectrum,54,44.0,0.8148148148148148,2.0,7.82345249382557
2025-06-19,,,Frontier,Spectrum,63,44.0,0.6984126984126984,3.0,7.82345249382557
2025-08-16,,,T-Mobile FWA,AT&T,57,43.0,0.7543859649122807,2.0,7.638934495803717
2025-08-16,New York,"New York, NY-NJ-CT-PA",Verizon,Altice,57,43.0,0.7543859649122807,4.0,7.638934495803717
2025-06-19,California,"Los Angeles, CA-NV",Spectrum,Frontier,64,43.0,0.671875,5.0,7.638934495803717
2025-08-18,,,T-Mobile FWA,Spectrum,57,42.0,0.7368421052631579,2.0,7.454416497781865
2025-08-17,California,"Sacramento-Stockton-Modesto, CA",AT&T,Comcast,22,42.0,1.9090909090909092,8.0,7.454416497781865
2025-08-17,,,T-Mobile FWA,Comcast,60,41.0,0.6833333333333333,2.0,7.2698984997600125
2025-06-19,California,"Los Angeles, CA-NV",Frontier,Spectrum,64,40.0,0.625,2.0,7.08538050173816
